Citation,Host_Species,Host_Family,Host_Order,HS,WNV_Strain,Virus_Isolate_Date,Isolate_Location,Virus_Genotype,Virus_Dose,Host_Isolate_Location,Sample_Size_Original,Sample_Size_Death,Day,Titer
Brault et al. 2007,American crow,Corvidae,Passeriformes,American crow,P991_sub,1999,New York,B,15000,Kansas,8,8,3,6.957
Brault et al. 2007,American crow,Corvidae,Passeriformes,American crow,P991_sub,1999,New York,B,15000,Kansas,8,8,4,8.078
Brault et al. 2007,American crow,Corvidae,Passeriformes,American crow,P991_sub,1999,New York,B,15000,Kansas,8,8,5,8.112
Brault et al. 2007,American crow,Corvidae,Passeriformes,American crow,P991_sub,1999,New York,B,15000,Kansas,8,6,6,7.187
Brault et al. 2007,American crow,Corvidae,Passeriformes,American crow,P991_sub,1999,New York,B,15000,Kansas,8,2,7,2.399
Brault et al. 2007,American crow,Corvidae,Passeriformes,American crow,P991_sub,1999,New York,B,15000,Kansas,8,1,8,
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,BIRD1153,2003,Texas,C,15000,Colorado,8,8,1,1.7
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,BIRD1153,2003,Texas,C,15000,Colorado,8,8,2,3.6387387974
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,BIRD1153,2003,Texas,C,15000,Colorado,8,8,3,5.26319443879
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,BIRD1153,2003,Texas,C,15000,Colorado,8,8,4,5.97351832708
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,BIRD1153,2003,Texas,C,15000,Colorado,8,8,5,5.34084948433
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,BIRD1153,2003,Texas,C,15000,Colorado,8,7,6,3.05105127349
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,BIRD1153,2003,Texas,C,15000,Colorado,8,6,7,1.7
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,BIRD1153,2003,Texas,C,15000,Colorado,8,6,8,1.7
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,TWN301,2003,Texas,C,15000,Colorado,8,8,1,1.7
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,TWN301,2003,Texas,C,15000,Colorado,8,8,2,5.81014969353
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,TWN301,2003,Texas,C,15000,Colorado,8,8,3,8.32038567045
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,TWN301,2003,Texas,C,15000,Colorado,8,8,4,9.65912935182
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,TWN301,2003,Texas,C,15000,Colorado,8,6,5,9.5121708411
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,TWN301,2003,Texas,C,15000,Colorado,8,0,6,
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,TWN301,2003,Texas,C,15000,Colorado,8,0,7,
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,TWN301,2003,Texas,C,15000,Colorado,8,0,8,
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,TM173-03-pp1,2003,Texas,C,15000,Colorado,8,8,1,1.7
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,TM173-03-pp1,2003,Texas,C,15000,Colorado,8,8,2,1.7
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,TM173-03-pp1,2003,Texas,C,15000,Colorado,8,8,3,3.14892593467
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,TM173-03-pp1,2003,Texas,C,15000,Colorado,8,8,4,4.08774613149
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,TM173-03-pp1,2003,Texas,C,15000,Colorado,8,8,5,3.65507566076
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,TM173-03-pp1,2003,Texas,C,15000,Colorado,8,8,6,2.36534256945
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,TM173-03-pp1,2003,Texas,C,15000,Colorado,8,6,7,1.7
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,TM173-03-pp1,2003,Texas,C,15000,Colorado,8,4,8,1.7
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,15000,Colorado,8,8,1,1.7
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,15000,Colorado,8,8,2,5.86736534501
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,15000,Colorado,8,8,3,8.20602762696
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,15000,Colorado,8,8,4,8.63056629576
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,15000,Colorado,8,2,5,9.34074366509
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,15000,Colorado,8,1,6,8.47943199486
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,15000,Colorado,8,0,7,
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,15000,Colorado,8,0,8,
