Citation,Host_Species,Host_Family,Host_Order,HS,WNV_Strain,Virus_Isolate_Date,Isolate_Location,Virus_Genotype,Virus_Dose,Host_Isolate_Location,Sample_Size_Original,Sample_Size_Death,Day,Survival
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,TWN301,2003,Texas,C,15000,Colorado,8,0,8,0
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,TM173-03-pp1,2003,Texas,C,15000,Colorado,8,8,1,1
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,TM173-03-pp1,2003,Texas,C,15000,Colorado,8,8,2,1
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,TM173-03-pp1,2003,Texas,C,15000,Colorado,8,8,3,1
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,TM173-03-pp1,2003,Texas,C,15000,Colorado,8,8,4,1
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,TM173-03-pp1,2003,Texas,C,15000,Colorado,8,8,5,1
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,TM173-03-pp1,2003,Texas,C,15000,Colorado,8,8,6,1
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,TM173-03-pp1,2003,Texas,C,15000,Colorado,8,6,7,0.75
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,TM173-03-pp1,2003,Texas,C,15000,Colorado,8,4,8,0.5
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,15000,Colorado,8,8,1,1
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,15000,Colorado,8,8,2,1
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,15000,Colorado,8,8,3,1
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,15000,Colorado,8,8,4,1
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,15000,Colorado,8,2,5,0.25
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,15000,Colorado,8,1,6,0.125
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,15000,Colorado,8,0,7,0
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,15000,Colorado,8,0,8,0
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,TM171-03-pp5,2003,Mexico,C,15000,Colorado,8,8,1,1
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,TM171-03-pp5,2003,Mexico,C,15000,Colorado,8,8,2,1
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,TM171-03-pp5,2003,Mexico,C,15000,Colorado,8,8,3,1
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,TM171-03-pp5,2003,Mexico,C,15000,Colorado,8,8,4,1
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,TM171-03-pp5,2003,Mexico,C,15000,Colorado,8,8,5,1
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,TM171-03-pp5,2003,Mexico,C,15000,Colorado,8,3,6,0.375
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,TM171-03-pp5,2003,Mexico,C,15000,Colorado,8,3,7,0.375
Brault et al. 2011,American crow,Corvidae,Passeriformes,American crow,TM171-03-pp5,2003,Mexico,C,15000,Colorado,8,3,8,0.375
Grubaugh et al. 2015,American crow,Corvidae,Passeriformes,American crow,NY99,2000,New York,B,1000,Colorado,4,4,1,1
Grubaugh et al. 2015,American crow,Corvidae,Passeriformes,American crow,NY99,2000,New York,B,1000,Colorado,4,4,2,1
Grubaugh et al. 2015,American crow,Corvidae,Passeriformes,American crow,NY99,2000,New York,B,1000,Colorado,4,4,3,1
Grubaugh et al. 2015,American crow,Corvidae,Passeriformes,American crow,NY99,2000,New York,B,1000,Colorado,4,4,4,1
Grubaugh et al. 2015,American crow,Corvidae,Passeriformes,American crow,NY99,2000,New York,B,1000,Colorado,4,4,5,1
Grubaugh et al. 2015,American crow,Corvidae,Passeriformes,American crow,NY99,2000,New York,B,1000,Colorado,4,3,6,0.75
Grubaugh et al. 2015,American crow,Corvidae,Passeriformes,American crow,NY99,2000,New York,B,1000,Colorado,4,1,7,0.25
Grubaugh et al. 2015,American crow,Corvidae,Passeriformes,American crow,NY99,2000,New York,B,1000,Colorado,4,0,8,0
Kinney et al. 2006,American crow,Corvidae,Passeriformes,American crow,P991,1999,New York,B,1500,Colorado,8,8,1,1
Kinney et al. 2006,American crow,Corvidae,Passeriformes,American crow,P991,1999,New York,B,1500,Colorado,8,8,2,1
Kinney et al. 2006,American crow,Corvidae,Passeriformes,American crow,P991,1999,New York,B,1500,Colorado,8,8,3,1
Kinney et al. 2006,American crow,Corvidae,Passeriformes,American crow,P991,1999,New York,B,1500,Colorado,8,8,4,1
Kinney et al. 2006,American crow,Corvidae,Passeriformes,American crow,P991,1999,New York,B,1500,Colorado,8,5,5,0.625
Kinney et al. 2006,American crow,Corvidae,Passeriformes,American crow,P991,1999,New York,B,1500,Colorado,8,1,6,0.125
Kinney et al. 2006,American crow,Corvidae,Passeriformes,American crow,P991,1999,New York,B,1500,Colorado,8,0,7,0
Kinney et al. 2006,American crow,Corvidae,Passeriformes,American crow,P991,1999,New York,B,1500,Colorado,8,0,8,0
Kinney et al. 2006,American crow,Corvidae,Passeriformes,American crow,Kenya-3829,1998,Kenya,A,1500,Colorado,16,16,1,1
Kinney et al. 2006,American crow,Corvidae,Passeriformes,American crow,Kenya-3829,1998,Kenya,A,1500,Colorado,16,16,2,1
Kinney et al. 2006,American crow,Corvidae,Passeriformes,American crow,Kenya-3829,1998,Kenya,A,1500,Colorado,16,16,3,1
Kinney et al. 2006,American crow,Corvidae,Passeriformes,American crow,Kenya-3829,1998,Kenya,A,1500,Colorado,16,16,4,1
Kinney et al. 2006,American crow,Corvidae,Passeriformes,American crow,Kenya-3829,1998,Kenya,A,1500,Colorado,16,16,5,1
Kinney et al. 2006,American crow,Corvidae,Passeriformes,American crow,Kenya-3829,1998,Kenya,A,1500,Colorado,16,16,6,1
Kinney et al. 2006,American crow,Corvidae,Passeriformes,American crow,Kenya-3829,1998,Kenya,A,1500,Colorado,16,16,7,1
Kinney et al. 2006,American crow,Corvidae,Passeriformes,American crow,Kenya-3829,1998,Kenya,A,1500,Colorado,16,15,8,0.9375
Kipp et al. 2006,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,4000,Kansas,10,10,1,1
Kipp et al. 2006,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,4000,Kansas,10,10,2,1
Kipp et al. 2006,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,4000,Kansas,10,10,3,1
Kipp et al. 2006,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,4000,Kansas,10,1,4,0.1
Kipp et al. 2006,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,4000,Kansas,10,0,5,0
Kipp et al. 2006,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,4000,Kansas,10,0,6,0
Kipp et al. 2006,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,4000,Kansas,10,0,7,0
Kipp et al. 2006,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,4000,Kansas,10,0,8,0
Komar et al. 2003,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,10000,New York,8,8,1,1
Komar et al. 2003,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,10000,New York,8,8,2,1
Komar et al. 2003,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,10000,New York,8,8,3,1
Komar et al. 2003,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,10000,New York,8,6,4,0.75
Komar et al. 2003,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,10000,New York,8,3,5,0.375
Komar et al. 2003,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,10000,New York,8,0,6,0
Komar et al. 2003,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,10000,New York,8,0,7,0
Komar et al. 2003,American crow,Corvidae,Passeriformes,American crow,NY99,1999,New York,B,10000,New York,8,0,8,0
Langevin et al. 2014,American crow,Corvidae,Passeriformes,American crow,NS3-249P,1999,New York,A,1500,Colorado,8,8,1,1
Langevin et al. 2014,American crow,Corvidae,Passeriformes,American crow,NS3-249P,1999,New York,A,1500,Colorado,8,8,2,1
Langevin et al. 2014,American crow,Corvidae,Passeriformes,American crow,NS3-249P,1999,New York,A,1500,Colorado,8,8,3,1
Langevin et al. 2014,American crow,Corvidae,Passeriformes,American crow,NS3-249P,1999,New York,A,1500,Colorado,8,8,4,1
Langevin et al. 2014,American crow,Corvidae,Passeriformes,American crow,NS3-249P,1999,New York,A,1500,Colorado,8,4,5,0.5
Langevin et al. 2014,American crow,Corvidae,Passeriformes,American crow,NS3-249P,1999,New York,A,1500,Colorado,8,4,6,0.5
Langevin et al. 2014,American crow,Corvidae,Passeriformes,American crow,NS3-249P,1999,New York,A,1500,Colorado,8,0,7,0
Langevin et al. 2014,American crow,Corvidae,Passeriformes,American crow,NS3-249P,1999,New York,A,1500,Colorado,8,0,8,0
Langevin et al. 2014,American crow,Corvidae,Passeriformes,American crow,NS3-249H,1999,New York,D,1500,Colorado,8,8,1,1
Langevin et al. 2014,American crow,Corvidae,Passeriformes,American crow,NS3-249H,1999,New York,D,1500,Colorado,8,8,2,1
Langevin et al. 2014,American crow,Corvidae,Passeriformes,American crow,NS3-249H,1999,New York,D,1500,Colorado,8,8,3,1
Langevin et al. 2014,American crow,Corvidae,Passeriformes,American crow,NS3-249H,1999,New York,D,1500,Colorado,8,8,4,1
Langevin et al. 2014,American crow,Corvidae,Passeriformes,American crow,NS3-249H,1999,New York,D,1500,Colorado,8,4,5,0.5
Langevin et al. 2014,American crow,Corvidae,Passeriformes,American crow,NS3-249H,1999,New York,D,1500,Colorado,8,3,6,0.375
Langevin et al. 2014,American crow,Corvidae,Passeriformes,American crow,NS3-249H,1999,New York,D,1500,Colorado,8,2,7,0.25
Langevin et al. 2014,American crow,Corvidae,Passeriformes,American crow,NS3-249H,1999,New York,D,1500,Colorado,8,0,8,0
Langevin et al. 2014,American crow,Corvidae,Passeriformes,American crow,NS3-249D,1999,New York,E,1500,Colorado,8,8,1,1
Langevin et al. 2014,American crow,Corvidae,Passeriformes,American crow,NS3-249D,1999,New York,E,1500,Colorado,8,8,2,1
Langevin et al. 2014,American crow,Corvidae,Passeriformes,American crow,NS3-249D,1999,New York,E,1500,Colorado,8,8,3,1
Langevin et al. 2014,American crow,Corvidae,Passeriformes,American crow,NS3-249D,1999,New York,E,1500,Colorado,8,8,4,1
Langevin et al. 2014,American crow,Corvidae,Passeriformes,American crow,NS3-249D,1999,New York,E,1500,Colorado,8,8,5,1
Langevin et al. 2014,American crow,Corvidae,Passeriformes,American crow,NS3-249D,1999,New York,E,1500,Colorado,8,4,6,0.5
Langevin et al. 2014,American crow,Corvidae,Passeriformes,American crow,NS3-249D,1999,New York,E,1500,Colorado,8,1,7,0.125
Langevin et al. 2014,American crow,Corvidae,Passeriformes,American crow,NS3-249D,1999,New York,E,1500,Colorado,8,1,8,0.125
Langevin et al. 2014,American crow,Corvidae,Passeriformes,American crow,NS3-249A,1999,New York,A,1500,Colorado,8,8,1,1
Langevin et al. 2014,American crow,Corvidae,Passeriformes,American crow,NS3-249A,1999,New York,A,1500,Colorado,8,8,2,1
